vote_id,id,fecha,nombre,boletin,periodo
31758,31758,2019-10-20 20:13:38,"
                                Faculta al Presidente de la República para dejar sin efecto o limitar un alza de tarifas en el transporte público de pasajeros, en las condiciones que indica",Boletín N°13010-05,P2
31791,31791,2019-10-28 19:09:48,"
                                Regula la portabilidad financiera",Boletín N°12909-03,P2
31792,31792,2019-10-28 19:12:06,"
                                Regula la portabilidad financiera",Boletín N°12909-03,P2
31793,31793,2019-10-28 19:14:02,"
                                Modifica la ley General de Servicios Eléctricos, con el objeto de proteger el derecho de propiedad de los usuarios de servicios eléctricos sobre los medidores y exigir a las concesionarias la adecuada gestión de residuos que se produzcan con motivo de su reemplazo",Boletín N°12448-08,P2
31794,31794,2019-10-28 19:14:53,"
                                Modifica la ley General de Servicios Eléctricos, con el objeto de proteger el derecho de propiedad de los usuarios de servicios eléctricos sobre los medidores y exigir a las concesionarias la adecuada gestión de residuos que se produzcan con motivo de su reemplazo",Boletín N°12448-08,P2
31797,31797,2019-10-29 13:33:48,"
                                Crea el Seguro de Salud Clase Media a través de una cobertura financiera especial en la modalidad de atención de libre elección de FONASA",Boletín N°12662-11,P2
31798,31798,2019-10-29 13:35:18,"
                                Crea el Seguro de Salud Clase Media a través de una cobertura financiera especial en la modalidad de atención de libre elección de FONASA",Boletín N°12662-11,P2
31799,31799,2019-10-29 13:36:13,"
                                Crea el Seguro de Salud Clase Media a través de una cobertura financiera especial en la modalidad de atención de libre elección de FONASA",Boletín N°12662-11,P2
31800,31800,2019-10-29 13:36:57,"
                                Crea el Seguro de Salud Clase Media a través de una cobertura financiera especial en la modalidad de atención de libre elección de FONASA",Boletín N°12662-11,P2
31801,31801,2019-10-29 13:37:45,"
                                Crea el Seguro de Salud Clase Media a través de una cobertura financiera especial en la modalidad de atención de libre elección de FONASA",Boletín N°12662-11,P2
31802,31802,2019-10-29 13:38:27,"
                                Crea el Seguro de Salud Clase Media a través de una cobertura financiera especial en la modalidad de atención de libre elección de FONASA",Boletín N°12662-11,P2
